作文分词语频统计结果 (GPF分词)
============================================================
文件数量: 282
不同词汇数量: 25,529
============================================================

排名       词语               词频          
530      的确               43          
531      不行               43          
532      怎么办              43          
533      后悔               43          
534      无论               43          
535      丑小鸭              43          
536      每当               43          
537      期待               42          
538      土地               42          
539      办法               42          
540      接受               42          
541      悄悄               42          
542      童年               42          
543      能力               41          
544      情况               41          
545      吃饭               41          
546      学期               41          
547      为何               41          
548      礼物               41          
549      你好               41          
550      上学               41          
551      办公室              41          
552      听说               41          
553      头发               41          
554      受到               41          
555      保护               41          
556      享受               41          
557      道路               41          
558      医院               41          
559      宁波港              41          
560      之中               40          
561      英语               40          
562      不见               40          
563      将来               40          
564      失望               40          
565      今年               40          
566      并且               40          
567      遇到               40          
568      奔跑               40          
569      打电话              40          
570      欢乐               40          
571      居然               40          
572      关心               40          
573      其他               40          
574      寒冷               40          
575      模糊               40          
576      疯狂               40          
577      和平               40          
578      孔乙己              40          
579      克隆               40          
580      激动               39          
581      身子               39          
582      早晨               39          
583      不可               39          
584      桌子               39          
585      房间               39          
586      这儿               39          
587      不管               39          
588      陌生               39          
589      绝望               39          
590      完成               39          
591      紧张               38          
592      高中               38          
593      汽车               38          
594      和谐               38          
595      电视               38          
596      到来               38          
597      前面               38          
598      不用               38          
599      车子               38          
600      善良               38          
601      经历               38          
602      愿意               38          
603      春天               38          
604      天天               38          
605      小心               38          
606      离去               38          
607      全部               38          
608      耳朵               38          
609      命运               38          
610      日记               38          
611      歌声               38          
612      安安               38          
613      极了               37          
614      设计               37          
615      只好               37          
616      至少               37          
617      悲哀               37          
618      家庭               37          
619      放心               37          
620      身后               37          
621      紧紧               37          
622      伤害               37          
623      王子               37          
624      一下子              37          
625      困难               37          
626      不如               37          
627      回头               37          
628      夕阳               37          
629      子晨               37          
630      初中               37          
631      儿童               37          
632      淼儿               37          
633      红色               36          
634      中学               36          
635      不得不              36          
636      大概               36          
637      门口               36          
638      医生               36          
639      缓缓               36          
640      友谊               36          
641      早就               36          
642      蛋糕               36          
643      抬头               36          
644      长长的              36          
645      人群               36          
646      亲人               36          
647      完美               36          
648      再也               36          
649      兔子               36          
650      文明               36          
651      柳嫣               36          
652      想象               35          
653      呵呵               35          
654      好多               35          
655      经理               35          
656      渴望               35          
657      老妈               35          
658      人物               35          
659      关系               35          
660      无聊               35          
661      此刻               35          
662      不错               35          
663      关于               35          
664      给予               35          
665      岁月               35          
666      文字               35          
667      胜利               35          
668      姥姥               35          
669      秋天               35          
670      走向               34          
671      耳边               34          
672      真实               34          
673      疑惑               34          
674      平时               34          
675      飞机               34          
676      绝对               34          
677      竟然               34          
678      通过               34          
679      中华               34          
680      肩膀               34          
681      微微               34          
682      黑暗               34          
683      注视               34          
684      聪明               34          
685      作品               34          
686      热情               34          
687      昨天               34          
688      表达               34          
689      艺术               34          
690      理由               34          
691      夜晚               34          
692      单纯               34          
693      阿姨               34          
694      死亡               34          
695      实现               33          
696      立刻               33          
697      小小               33          
698      付出               33          
699      轻松               33          
700      幽默               33          
701      原因               33          
702      问道               33          
703      照顾               33          
704      心底               33          
705      呼吸               33          
706      感谢               33          
707      小孩子              33          
708      流泪               33          
709      季节               33          
710      罗杰               33          
711      拉茜               33          
712      失败               32          
713      那边               32          
714      风景               32          
715      不时               32          
716      远方               32          
717      冬天               32          
718      背影               32          
719      收拾               32          
720      重新               32          
721      大海               32          
722      不久               32          
723      小时候              32          
724      最近               32          
725      空中               32          
726      比喻               32          
727      鼓励               32          
728      情感               32          
729      恐惧               32          
730      公主               32          
731      之前               32          
732      珍惜               32          
733      目的               32          
734      干净               32          
735      创造               32          
736      经济               32          
737      一个个              32          
738      精灵               32          
739      或者               32          
740      下课               32          
741      永恒               32          
742      死神               32          
743      世纪               31          
744      产生               31          
745      中心               31          
746      书包               31          
747      知识               31          
748      做到               31          
749      鼻子               31          
750      所谓               31          
751      方式               31          
752      要求               31          
753      一旁               31          
754      露出               31          
755      不得               31          
756      对方               31          
757      放下               31          
758      热闹               31          
759      答应               31          
760      看着               31          
761      各种               31          
762      难以               31          
763      陈太太              31          
764      坐下               31          
765      般的               31          
766      房子               31          
767      容易               31          
768      亲爱               31          
769      黄昏               31          
770      仍然               31          
771      亲切               31          
772      家乡               31          
773      天上               31          
774      天地               31          
775      网上               31          
776      责任               31          
777      井野               31          
778      李娇               31          
779      到处               30          
780      响起               30          
781      骄傲               30          
782      河边               30          
783      干什么              30          
784      跟着               30          
785      出发               30          
786      懂得               30          
787      出生               30          
788      妻子               30          
789      上去               30          
790      要是               30          
791      再说               30          
792      中考               30          
793      比较               30          
794      黑色               30          
795      好友               30          
796      放学               30          
797      女子               30          
798      网络               30          
799      伙伴               30          
800      当初               30          
801      透过               30          
802      欣赏               30          
803      影响               30          
804      瞬间               30          
805      日本               30          
806      皇帝               30          
807      夭夭               30          
808      精彩               29          
809      第三               29          
810      自行车              29          
811      首先               29          
812      迎接               29          
813      介绍               29          
814      简直               29          
815      强烈               29          
816      即将               29          
817      任务               29          
818      光芒               29          
819      读书               29          
820      从不               29          
821      满足               29          
822      角落               29          
823      方向               29          
824      英雄               29          
825      之外               29          
826      报告               29          
827      一时               29          
828      不安               29          
829      神秘               29          
830      自信               29          
831      注定               29          
832      自我               29          
833      无限               29          
834      月光               29          
835      温馨               29          
836      时刻               29          
837      小玲               29          
838      剩下               29          
839      来自               29          
840      色彩               29          
841      组织               29          
842      姑娘               29          
843      建设               28          
844      满意               28          
845      速度               28          
846      开放               28          
847      颜色               28          
848      一番               28          
849      嘴里               28          
850      哪怕               28          
851      消息               28          
852      眼里               28          
853      新年               28          
854      意义               28          
855      逐渐               28          
856      使用               28          
857      记住               28          
858      楼下               28          
859      自从               28          
860      星星               28          
861      麻烦               28          
862      一半               28          
863      不必               28          
864      而已               28          
865      无比               28          
866      包括               28          
867      资料               28          
868      下面               28          
869      优秀               28          
870      气息               28          
871      明媚               28          
872      无情               28          
873      意味着              28          
874      苍白               28          
875      丫丫               28          
876      可怕               28          
877      难过               28          
878      森林               28          
879      度过               28          
880      马路               27          
881      情景               27          
882      外国               27          
883      青年               27          
884      连忙               27          
885      吸引               27          
886      可惜               27          
887      巨大               27          
888      抓住               27          
889      危险               27          
890      递给               27          
891      中午               27          
892      送给               27          
893      只不过              27          
894      反正               27          
895      相当               27          
896      答案               27          
897      钟静雪              27          
898      羡慕               27          
899      性格               27          
900      匆匆               27          
901      体会               27          
902      互相               27          
903      烦恼               27          
904      题记               27          
905      短暂               27          
906      蓝天               27          
907      金钱               27          
908      纯真               27          
909      民族               27          
910      会议               27          
911      单欣               27          
912      皮皮鲁              27          
913      显示               26          
914      惊讶               26          
915      健康               26          
916      影子               26          
917      2月               26          
918      算是               26          
919      别的               26          
920      肚子               26          
921      脑海               26          
922      联系               26          
923      咱们               26          
924      关注               26          
925      等等               26          
926      表现               26          
927      天下               26          
928      舞台               26          
929      哪个               26          
930      讨厌               26          
931      洁白               26          
932      当年               26          
933      位置               26          
934      心理               26          
935      上来               26          
936      何时               26          
937      眼中               26          
938      讨论               26          
939      追求               26          
940      老板               26          
941      日记本              26          
942      留守               26          
943      个人               25          
944      少年               25          
945      小河               25          
946      点燃               25          
947      司机               25          
948      之一               25          
949      从未               25          
950      立即               25          
951      我家               25          
952      颤抖               25          
953      叫做               25          
954      教师               25          
955      喜悦               25          
956      黑夜               25          
957      原本               25          
958      沉重               25          
959      表示               25          
960      见面               25          
961      门前               25          
962      好奇               25          
963      迅速               25          
964      证明               25          
965      支持               25          
966      勇敢               25          
967      欢迎               25          
968      战士               25          
969      怀念               25          
970      好几               25          
971      宇宙               25          
972      多久               25          
973      贪婪               25          
974      差点               25          
975      分数               25          
976      生存               25          
977      Q精               25          
978      青蛙               25          
979      夏天               25          
980      制度               25          
981      骗子               25          
982      雨晴               25          
983      凌峰               25          
984      素舟               25          
985      幻想               24          
986      春节               24          
987      升起               24          
988      科技               24          
989      目标               24          
990      全身               24          
991      向前               24          
992      相互               24          
993      石头               24          
994      说是               24          
995      飞船               24          
996      既然               24          
997      挣扎               24          
998      文件               24          
999      气氛               24          
1000     厨房               24          
1001     偷偷               24          
1002     桌上               24          
1003     不知不觉             24          
1004     小不点              24          
1005     好久               24          
1006     交给               24          
1007     同一               24          
1008     唱歌               24          
1009     虽说               24          
1010     手上               24          
1011     安排               24          
1012     滋味               24          
1013     值得               24          
1014     告别               24          
1015     想想               24          
1016     过程               24          
1017     向往               24          
1018     想不到              24          
1019     海边               24          
1020     远远               24          
1021     歌曲               24          
1022     时常               24          
1023     教育               24          
1024     出门               24          
1025     个人主义者            24          
1026     哈利·波特            24          
1027     家人               24          
1028     展现               23          
1029     河水               23          
1030     游泳               23          
1031     有趣               23          
1032     亲自               23          
1033     中间               23          
1034     仔细               23          
1035     火星               23          
1036     解释               23          
1037     白雪               23          
1038     遥远               23          
1039     起床               23          
1040     光明               23          
1041     愿望               23          
1042     智慧               23          
1043     手臂               23          
